,name,address,sido,gugun
0,계명,대구시 남구 양지로 107,대구시,남구
1,대명1호,대구 남구 대명동 1098-4,대구,남구
2,봉덕,대구 남구 봉덕동 687-32,대구,남구
3,앞산,대구 남구 대명동 780-3,대구,남구
4,이천대봉,대구 남구 이천동 184-9,대구,남구
5,감삼성당,대구 달서구 감삼동 317-3,대구,달서구
6,대곡,대구 달서구 도원동 1442-2 1층 107호,대구,달서구
7,상인,대구 달서구 상인동 1555-1,대구,달서구
8,성서,대구 달서구 신당동 1763-2,대구,달서구
9,송현(대구),대구 달서구 송현1동 207-2,대구,달서구
10,신월성,대구 달서구 월성동 1264번지 트럼프스타 B/D 106호,대구,달서구
11,용산,대구 달서구 용산1동 954-6,대구,달서구
12,용산새방,대구 달서구 용산동 499-2,대구,달서구
13,장기,대구 달서구 장기동 566-4,대구,달서구
14,진천(대구),대구 달서구 진천동 508,대구,달서구
15,강화,인천 강화군 강화읍 갑곳리 199-1,인천,강화군
16,계산1호,인천 계양구 계산동 1081-10,인천,계양구
17,계산2호,인천 계양구 계산3동 61-2,인천,계양구
18,임학박촌,인천 계양구 박촌동 52-3,인천,계양구
19,작전1호,인천 계양구 작전동 149-1,인천,계양구
20,효성1호,"인천 계양구 효성1동 21-11 현대아파트 상가동 101호, 102호, 103호",인천,계양구
21,효성2호,인천 계양구 효성2동 273-3,인천,계양구
22,관교,인천 남구 관교동 321-5,인천,남구
23,용현2동,인천 남구 용현동 558-32,인천,남구
24,용현5동,인천 남구 용현동 630-45,인천,남구
25,주안1호,인천 남구 주안동 1523-2,인천,남구
26,주안3호,인천 남구 주안동 929-11,인천,남구
27,학익1호,인천 남구 학익동 293-37,인천,남구
28,간석1호,인천 남동구 구월동 70-80,인천,남동구
29,구월,인천 남동구 구월동 1133-13,인천,남동구
30,논현1호(인천),인천 남동구 논현동 620-8,인천,남동구
31,논현에코메트로,인천 남동구 논현동 752-1,인천,남동구
32,만수1호,인천 남동구 만수동 1045 103호,인천,남동구
33,만수2호,인천 남동구 만수2동 5-440,인천,남동구
34,만수3호,인천 남동구 간석3동 921-14,인천,남동구
35,서창,인천 남동구 서창동 706,인천,남동구
36,간석1호,인천 남동구 구월동 70-80,인천,남동구
37,구월,인천 남동구 구월동 1133-13,인천,남동구
38,논현1호(인천),인천 남동구 논현동 620-8,인천,남동구
39,논현에코메트로,인천 남동구 논현동 752-1,인천,남동구
40,만수1호,인천 남동구 만수동 1045 103호,인천,남동구
41,만수2호,인천 남동구 만수2동 5-440,인천,남동구
42,만수3호,인천 남동구 간석3동 921-14,인천,남동구
43,서창,인천 남동구 서창동 706,인천,남동구
44,송현(인천),인천 동구 송림동 234-1,인천,동구
45,부개1동,인천 부평구 부개동 265-3,인천,부평구
46,부개3동,인천 부평구 부개동 12-127,인천,부평구
47,부평1호,인천 부평구 부평동 451-30,인천,부평구
48,부평2호,인천 부평구 부평동 889-8,인천,부평구
49,산곡1호,인천 부평구 산곡동 369-270,인천,부평구
50,산곡2호,인천 부평구 산곡동 119-54,인천,부평구
51,산곡3호,인천 부평구 산곡2동 251-1,인천,부평구
52,삼산(부평),인천 부평구 삼산동 433-1,인천,부평구
53,십정1호,인천 부평구 십정동 417-3,인천,부평구
54,송촌1호,대전 대덕구 송촌동 454-4,대전,대덕구
55,신탄진,대전 대덕구 석봉동 309-1,대전,대덕구
56,한남대,대전 대덕구 한남로 오정동 223-260,대전,대덕구
57,가오천동,대전 동구 가오동 235-12,대전,동구
58,비래,대전 동구 가양동 88-1 조일아파트상가 A동,대전,동구
59,용운,대전 동구 용운동 306-3,대전,동구
60,자양대동,대전 동구 대동 192-1,대전,동구
61,가장내동,대전 서구 가장동 50-45,대전,서구
62,갈마1호,대전 서구 갈마2동 404-2 푸른아파트 상가 107-2,대전,서구
63,관저느리울,대전 서구 관저동 1354,대전,서구
64,도마1호,대전 서구 도마동 114-19,대전,서구
65,도안2지구,대전 서구 가수원동 1036,대전,서구
66,둔산1호,대전 서구 둔산2동 1093,대전,서구
67,둔산2호,대전 서구 둔산동 1851,대전,서구
68,만년,대전 서구 만년동 316,대전,서구
69,복수,대전 서구 복수동 622,대전,서구
70,월평1호,대전 서구 월평1동 845번지,대전,서구
71,탄방,대전 서구 탄방동 723,대전,서구
72,관저1호,대전 유성구 원내동 829 외 1필지,대전,유성구
73,관평,대전 유성구 관평동 1056,대전,유성구
74,노은1지구,대전 유성구 노은동 553-9 스타돔 120호,대전,유성구
75,노은2지구,대전 유성구 지족동 985-2,대전,유성구
76,도안1지구,대전 유성구 상대동 469-9,대전,유성구
77,송강,대전 유성구 봉산동 198-13,대전,유성구
78,신성,대전 유성구 신성동 137-15,대전,유성구
79,유성,대전 유성구 봉명동 621-1,대전,유성구
80,전민,대전 유성구 전민동 306-13,대전,유성구
81,대사부사,대전 중구 대사동 69-53,대전,중구
82,문화1호,대전 중구 문화동 466-16,대전,중구
83,용두오류,대전 중구 용두동 26-1,대전,중구
84,중촌,대전 중구 중촌동 98-16,대전,중구
85,태평1호,대전 중구 유천동 326-13,대전,중구
86,공업탑,울산 남구 신정동 1218-7,울산,남구
87,달동,울산 남구 달동 135-2,울산,남구
88,무거1호,울산 남구 무거동 1484-2,울산,남구
89,삼산(울산),울산 남구 달동 1331-20,울산,남구
90,삼산2호,울산 남구 삼산동 203-15,울산,남구
91,수암,울산 남구 신정4동 870-9,울산,남구
92,신정3동(구 신정3호점),울산 남구 신정3동 177-1,울산,남구
93,야음1호,울산 남구 선암동 679-3,울산,남구
94,야음2호,울산 남구 야음1동 455-8,울산,남구
95,옥동(울산),울산 남구 옥동 1406-17,울산,남구
96,울대,울산 남구 무거동 583-17,울산,남구
97,남목서부,울산 동구 서부동 181-31,울산,동구
98,방어,울산 동구 방어동 1149-1,울산,동구
99,전하,울산 동구 전하2동 634-4,울산,동구
100,화정,울산 동구 화정동 438-3,울산,동구
101,강동산하,울산 북구 산하동 89,울산,북구
102,양정염포,울산 북구 양정동 497-11,울산,북구
103,진장명촌,울산 북구 명촌동 692-3,울산,북구
